Item Code,Category,Type,Material,Description,,,,,,,,,,,,,,,,,,,,,,,,,
 SA-K-SHLF                                             -- OPEN SHELF IN GREEN DISTRESS,Shelf,Open Shelf,Wood,"Multiple types of shelves available – book, open, etc.",,,,,,,,,,,,,,,,,,,,,,,,,
A/R-01 -- Blue Large Mirror,Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
A/R-02 -- Distressed Iron Mirror,Mirror,,Glass and Metal,,,,,,,,,,,,,,,,,,,,,,,,,,
A/R-03 -- Small Mirror Iron Corner,Mirror,,Glass and Metal,,,,,,,,,,,,,,,,,,,,,,,,,,
A/R-04 -- Sofa Upholstered,Sofa,Fabric ,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
A/R-06 -- Wooden Partition,Partition,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
A/R-07 -- Wooden Red Trunk,Trunk,Pitara,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
A/R-08 -- Red Metal Bench,Chair,Bench,Metal and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCHR-10 -- Mohagany Wood Chair,Chair,Sofa Chair with Fabric,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
ABTBL-01 -- Mohagany Wood Craved Console Table,Table,Console,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-JD/04-17/BK-STND/01 -- Black colour wooden book stand. L16''XW13''XH10'',Shelf,Book Shelf,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-JD/04-17/CON-HW/01 -- Console Table. Hardwood. L36''xW12''xH30'',Table,Console,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-JD/04-17/CON-WMF/01 -- BLACK CONSOLE WITH MIRROR FRAME,Table,Console with Mirror,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-JD/04-17/SFA-BLK/01 -- Sofa. Black. L48''Xw27''xH30'',Sofa,Fabric ,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-JDH-04-2017-BJT-HW-6 of 6 -- Bajot. Star.,Bajot,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
ADDSHELF-01 -- Additional Shelf,Shelf,Open Shelf,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
ADKCHR-01 -- Old Rose wood Chair,Chair,Sitting Chair,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
AK-MUM-B- BENCH-5/6/01 -- Big Bench with cushion,Chair,Bench,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
AK-MUM-M - CHR-5/6/04 -- SOFA CHIR,Chair,Sofa Chair with Fabric,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
AMALT-01 -- Rose wood and mohagany wood Altar,Table,Altar,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
AMALT-03 -- Old Burma teak Wood Olter,Table,Altar,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
AMCBD-01 -- rose wood +mohagany wood,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
AMCBD-02 -- mohagany wood suraj mukhi,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
AMCBD-04 -- old rose wood +tiles,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
AMCBD-06 -- Old Burma Teak Cupboard.,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
AMCHR-02 -- Old rose wood + Cane Chair.,Chair,Cane Chair,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSCCBD-01 -- Burma Teak Show case,Cupboard,Showcase,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSCCBD-03 -- old Burma teak,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
AMTBL-01 -- Teapoy mohagany wood rose wood finish,Table,Bedside,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
AMTBL-03 -- Old Rose wood Tiles table,Table,Bedside,Wood,Tiles -> Material?,,,,,,,,,,,,,,,,,,,,,,,,,
AQCHR-01 -- Burma teak Rocking Chair,Chair,Sofa Chair with Leather,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
BA TBL-01 -- Small Green Table,Table,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
BAPRTN-01 -- PARTICAL BORD PARTION,Partition,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
BATBL-02 -- Nesting table,Table,Nesting,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
BBBNCH-01 -- Burma Teak 2 Seater Cushion,Chair,Sofa Chair with Fabric,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
BBBNCH-02 -- Mohgany wood Wth cane Sofa,Sofa,Cane,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
BBCHR-02 -- Reloving Burma Teak Chair,Chair,Sitting Chair,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
BBCHR-04 -- Burma Teak Half Round Chair,Chair,Sitting Chair,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
BBSFA-01 -- Burma teak Cushion 2 Seater Sofa,Sofa,Fabric ,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
BBTBL-01 -- burma teak stool,Table,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
BBTBL-02 -- rose wood + burma teak stool,Table,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
BBTBL-03 -- burma teak stool,Table,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
BBTBL-05 -- old burma teak desk,Table,Study Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
BBTBL-08 -- Burma Teak  Side table Long,Table,Side Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
BBTBL-09 -- Small Old Burma Teak Stool,Table,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
BBTBL-11 -- Burma teak Roll Top Table,Table,Roll Top Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
Bench -- W/C Bench,Chair,Bench,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
CH-JD-12/17-WDN - TVC -- WDN CARVING TVC,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
CH-JD-SDETBL-06/9/17 -- WHITE COLOUR SIDE BOARD,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
DWR-IW-TBL-01 -- CAST IRON MASS TABLE WITH STON TOP 5'',Cupboard,Cabinet,Metal and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
DWR-IW-TBL-03 -- cast iron bar counter with wooden top,Table,Bar Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
DWR-IW-TBL-04 -- cast iron dinning table with wooden top,Table,Dining Table,Metal and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
DWR-IW-TBL-06 -- cast iron 4 leg with wooden top,Table,Dining Table,Metal and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
GH 74 -- HEXIGNAL TABLE,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
GH-01 -- Wooden Cabinet,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
GH-04 -- Wooden Cabinet,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
GH-05 -- Wooden Cabinet,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
GH-07 -- Silver Necklace,Jewellery,Necklace,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,
GH-103 -- Wooden Pigeon House,Home Decor,Cage,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
GH-16 -- Wooden Sidebord,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
GH-18  -- Wooden Side board,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
GH-21 -- wooden Sideboard,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
