Date,Consumer Price Index  (2012=100),Rural,Urban,Consumer Price Index for Industrial Workers (2001=100),Wholesale Price Index (2011-12=100),Primary Articles (2011-12=100),Fuel and Power (2011-12=100),Manufactured Products (2011-12=100)
01-06-2018,138.6,140.6,136.2,-,119.2,133.2,104.1,117.3
01-05-2018,137.8,139.8,135.4,289,117.9,130.6,101.1,116.8
01-04-2018,137.1,139.1,134.8,288,117.3,130.7,99,116.3
01-03-2018,136.5,138.7,134,287,116.3,128.2,98,115.8
01-02-2018,136.4,138.5,134,287,116.1,128,98.8,115.5
01-01-2018,136.9,139.3,134.1,288,116,129.9,97.5,114.9
01-12-2017,137.2,139.8,134.1,286,115.7,131.7,95.5,114.2
01-11-2017,137.6,140,134.8,288,116.4,136,94.6,114
01-10-2017,136.1,138.3,133.5,287,115.6,133.9,93.8,113.7
01-09-2017,135.2,137.6,132.4,285,114.9,131.5,91.9,113.7
01-08-2017,135.4,137.8,132.7,285,114.8,135.3,89.1,112.8
01-07-2017,134.2,136.2,131.8,285,113.9,132.6,88.4,112.6
01-06-2017,132,133.9,129.9,280,112.7,126.5,89.6,112.6
01-05-2017,131.4,133.3,129.3,278,112.9,126.6,90.9,112.6
01-04-2017,131.1,132.9,129.1,277,113.2,127.4,91.7,112.6
01-03-2017,130.9,132.8,128.7,275,113.2,127.1,93.6,112.3
01-02-2017,130.6,132.6,128.2,274,113,127,94.5,111.8
01-01-2017,130.3,132.4,127.8,274,112.6,126.7,93.1,111.6
01-12-2016,130.4,132.8,127.6,275,111.7,126.8,88.4,111.1
01-11-2016,131.2,133.6,128.5,277,111.9,128.8,87.3,111
01-10-2016,131.4,133.8,128.6,278,111.5,129.1,84.6,110.8
01-09-2016,130.9,133.4,128,277,111.4,130.6,83.2,110.4
01-08-2016,131.1,133.5,128.4,278,111.2,131.4,81.1,110.2
01-07-2016,131.1,133,129,280,111.8,131.8,84.7,110.3
01-06-2016,130.1,131.9,128.1,277,111.7,132,85.2,110
01-05-2016,128.6,130.3,126.6,275,110.4,128.8,81.3,109.8
01-04-2016,127.3,129,125.3,271,109,126.1,78.3,109.2
01-03-2016,126,128,123.8,268,107.7,123,76.5,108.8
01-02-2016,126,127.9,123.8,267,107.1,122.1,75.5,108.3
01-01-2016,126.3,128.1,124.2,269,108,124.3,79.8,108
01-12-2015,126.1,127.9,124,269,109.4,126.7,84.8,108.4
01-11-2015,126.6,128.3,124.6,270,109.9,127.1,85.5,108.8
01-10-2015,126.1,127.7,124.2,269,110.1,126.4,85.6,109.4
01-09-2015,125.4,127,123.5,266,109.9,125.9,85.7,109.2
