Item Code,Category,Date,Order No,Quantity,Cost
SLSRK-01 -- Burma Teak Shoe Rack,Furniture,22-07-2012,SO-006382,1,Rs.15500.00
RCC0914-10 -- Handicraft C/T Rough Strip,Furniture,02-09-2015,SO-014447,1,Rs.15960.00
SLMDR-01 -- New Burma teak,Furniture,22-07-2012,SO-006383,1,Rs.1140.00
LSSCSE-04 -- Burma Teak Show Case,Furniture,20-07-2012,SO-006360,1,Rs.14000.00
SLRK-01 -- Small multipurpose Shelf,Furniture,21-07-2012,SO-006367,1,Rs.2500.00
JAC0715-24 -- Birds Iron Stool,Furniture,02-09-2015,CS2015-16/34,1,Rs.4644.45
SLTBL-12 -- Burma Teak  W desk,Furniture,22-08-2015,SO-014404,1,Rs.11400.00
JAC0715-21 -- Lantern,Furniture,21-08-2015,CC2015-16/185,1,Rs.3111.11
JAC0715-21 -- Lantern,Furniture,18-08-2015,CS2015-16/310,1,Rs.3111.11
MMCHR-04 -- Chair Burma Teak,Furniture,23-07-2012,SO-006385,2,Rs.10000.00
SLTBL-12 -- Burma Teak  W desk,Furniture,28-07-2012,SO-006430,3,Rs.39000.00
SLRK-06 -- Old Burma Teak Book Rack,Furniture,28-07-2012,SO-006430,1,Rs.7000.00
SLSRK-01 -- Burma Teak Shoe Rack,Furniture,04-07-2012,SO-006261,1,Rs.15500.00
SA-M-SHRK -- New Shoe Rack,Furniture,04-07-2012,SO-006263,1,Rs.11400.00
SLHK-08 -- Burma teak Cloth Hanging,Furniture,09-07-2012,CS2012-13/239,1,Rs.1422.22
SLESL-05 -- Easel ( Burma Teak Wood),Furniture,01-07-2012,CS2012-13/223,1,Rs.1689.00
SLCHST-07 -- Old Burma teak,Furniture,01-07-2012,SO-006250,1,Rs.8550.00
SLCHST-17 -- Old  Chest.,Furniture,10-09-2015,CS2015-16/358,1,Rs.13333.00
RCTBL-02 -- Burma Teak Plan Table,Furniture,17-07-2012,SO-006494,1,Rs.9900.00
SLCOD-03 --  Old Burma Teak Chest of Drawer,Furniture,17-07-2012,SO-006345,1,Rs.12600.00
SLTBL-03 -- Smll round top Side Table,Furniture,18-07-2012,SO-006348,1,Rs.3000.00
JMNTBL-01 --  Nesting table Set of 4,Furniture,13-07-2012,SO-006301,1,Rs.15000.00
SLLDR-01 -- Wooden Lader 44*20*30,Furniture,15-07-2012,SO-006319,1,Rs.12000.00
SLRK-05 -- Burma Teak Multi Shelf Book Rack,Furniture,16-07-2012,SO-006333,1,Rs.4200.00
SLCHST-15 -- Old Burma teak wood chest,Furniture,03-08-2012,CC2012-13/149,1,Rs.3325.00
SLESL-05 -- Easel ( Burma Teak Wood),Furniture,22-08-2012,SO-006595,2,Rs.3610.00
SHMALT-01 -- Old Alter,Furniture,22-08-2012,SO-006595,1,Rs.3800.00
PCZSCE-01 -- Painted wooden Show case,Furniture,23-08-2012,SO-006599,1,Rs.13500.00
SLCHR-17 -- Half Round Chairs,Furniture,14-08-2012,SO-006541,1,Rs.5000.00
YASC-23 -- Wooden  Trays wth Handle,Furniture,16-08-2017,SO-017970,1,Rs.4400.00
SLHTRK-01 -- OLd Burma Teak Hat Rack,Furniture,21-08-2012,SO-006590,1,Rs.8000.00
SLESL-05 -- Easel ( Burma Teak Wood),Furniture,27-08-2012,SO-006619,1,Rs.1805.00
MMCSTD-01 -- Burma Teak Coat std,Furniture,27-08-2012,SO-006619,1,Rs.9975.00
SLESL-03 -- Burma teak easal M size.,Furniture,02-09-2012,CS2012-13/347,1,Rs.640.00
SLPAT-02 -- Old Burma teak Pat,Furniture,23-08-2012,SO-006600,1,Rs.800.00
RJLA-02 -- Burma Teak Bhavnagri Jhula,Furniture,24-08-2012,SO-006603,1,Rs.15500.00
JAC0715-26 -- Boat,Furniture,08-08-2015,SO-014304,1,Rs.19000.00
