Item Code,Category,Date,Order No,Quantity,Cost
IR615LG -- Garden Incence Lemon Grrass,Home Decor,24-03-2017,CS2016-17/928,2,Rs.700.00
PSG-AK146 -- Necklace,Home Decor,24-03-2017,CS2016-17/928,1,Rs.283.02
IRAC8001GB --  Tea light,Home Decor,11-12-2015,CC2015-16/477,1,Rs.238.00
SLAGBT-01 -- Agarbatti,Home Decor,23-03-2017,CS2016-17/927,10,Rs.300.00
SLAGBT-01 -- Agarbatti,Home Decor,12-12-2015,SO-015230,11,Rs.330.00
SLLMP-10 --  Candle stand.,Home Decor,12-12-2015,CS2015-16/563,1,Rs.1689.10
SLAGBT-01 -- Agarbatti,Home Decor,11-12-2015,SO-015229,2,Rs.60.00
SLNK-07 -- Bead Necklace,Home Decor,11-12-2015,CC2015-16/477,3,Rs.858.00
SLAGBT-01 -- Agarbatti,Home Decor,11-12-2015,SO-015223,2,Rs.60.00
PSG-AK156 -- Necklace,Home Decor,24-03-2017,CS2016-17/928,1,Rs.283.02
SLAGBT-01 -- Agarbatti,Home Decor,09-12-2015,SO-015219,1,Rs.30.00
IR101AC -- Apple cinnamon reed diffuser,Home Decor,11-12-2015,CS2015-16/561,1,Rs.356.00
IR615LG -- Garden Incence Lemon Grrass,Home Decor,11-12-2015,CC2015-16/477,1,Rs.350.00
IR615CT -- Garden incense citronella,Home Decor,11-12-2015,CC2015-16/477,1,Rs.350.00
KSPMHNG-04 -- Paper Mashe  Egg& Animal  Hanging,Home Decor,11-12-2015,CS2015-16/561,2,Rs.266.00
SLHNDL-01 -- Brass  Handle,Home Decor,12-12-2015,SO-015235,1,Rs.80.00
SAE0215-10 -- Iron spoon/Jarya,Home Decor,13-12-2015,CC2015-16/484,1,Rs.355.56
SAE0317-21 -- BRASS SPOON JARA,Home Decor,21-03-2017,CC2016-17/667,1,Rs.700.00
XPCI-01 -- Mana Pot,Home Decor,21-03-2017,CC2016-17/667,1,Rs.850.00
SAE0317-11 -- BRASS VEGITABLE CUTTER,Home Decor,21-03-2017,CC2016-17/667,1,Rs.1450.00
IR615LG -- Garden Incence Lemon Grrass,Home Decor,13-12-2015,CC2015-16/487,1,Rs.350.00
SLAGBT-01 -- Agarbatti,Home Decor,13-12-2015,CC2015-16/487,40,Rs.1200.00
RMPNTNG-05 -- Painting,Home Decor,13-12-2015,CS2015-16/565,1,Rs.4000.00
ARBF-02 -- Baster art frame,Home Decor,12-12-2015,SO-015243,1,Rs.1615.00
IR615CT -- Garden incense citronella,Home Decor,12-12-2015,CS2015-16/564,2,Rs.700.00
SLAGBT-01 -- Agarbatti,Home Decor,12-12-2015,SO-015233,10,Rs.300.00
LAP0317-122 -- Wdn. Auto Painted BIG,Home Decor,23-03-2017,SO-017605,1,Rs.2100.00
IR615LG -- Garden Incence Lemon Grrass,Home Decor,12-12-2015,CC2015-16/480,1,Rs.350.00
SAE0716-43 -- Cloth Panel,Home Decor,22-03-2017,CS2016-17/923,1,Rs.849.06
SAE0317-15 -- BRASS POT/LAGE,Home Decor,22-03-2017,CS2016-17/923,2,Rs.1762.20
JAC1013-22 -- Cart Coffe table,Home Decor,12-12-2015,SO-015238,1,Rs.7000.00
JKMCN-02 -- Old Iron painted milk can,Home Decor,07-12-2015,CC2015-16/467,1,Rs.1778.00
SLHK-12 -- Ball Hanging  Chain,Home Decor,29-03-2017,CS2016-17/937,3,Rs.528.66
IRAC8001GB --  Tea light,Home Decor,06-12-2015,CC2015-16/462,1,Rs.238.00
SLAGBT-01 -- Agarbatti,Home Decor,07-12-2015,CS2015-16/556,2,Rs.60.00
SAE0317-06 -- BRASS HANGING GLASS,Home Decor,26-03-2017,CC2016-17/673,1,Rs.800.00
VG-01 -- Planter,Home Decor,07-12-2015,CC2015-16/469,1,Rs.1689.00
GPB-FLT -- Earring,Home Decor,26-03-2017,CC2016-17/673,1,Rs.150.00
SLMIR-11 -- Half round Window Mrror,Home Decor,28-03-2017,CC2016-17/678,1,Rs.7000.00
IRAC8001GB --  Tea light,Home Decor,06-12-2015,SO-015192,2,Rs.500.00
SLAGBT-01 -- Agarbatti,Home Decor,06-12-2015,SO-015192,2,Rs.60.00
FE0115-22 -- Lotus,Home Decor,05-12-2015,SO-015190,1,Rs.1250.00
SLAGBT-01 -- Agarbatti,Home Decor,01-04-2017,CS2017-18/005,3,Rs.90.00
SAE0317-11 -- BRASS VEGITABLE CUTTER,Home Decor,01-04-2017,CC2017-18/001,1,Rs.1450.00
MIRROR,Home Decor,01-04-2017,CC2017-18/001,1,Rs.900.00
SLDC-04 -- Small Dream Cather,Home Decor,06-12-2015,SO-015195,1,Rs.150.00
H2H0916-04 -- W/C Wooden Pannel,Home Decor,26-03-2017,CC2016-17/673,1,Rs.2700.00
VG-01 -- Planter,Home Decor,08-12-2015,SO-015213,1,Rs.1710.00
XPCI-01 -- Mana Pot,Home Decor,26-03-2017,CC2016-17/675,1,Rs.850.00
LBPNL-04 -- Brass Pannnal,Home Decor,26-03-2017,CS2016-17/934,1,Rs.220.00
IRAC8001GB --  Tea light,Home Decor,08-12-2015,CC2015-16/472,1,Rs.238.00
SLHK-12 -- Ball Hanging  Chain,Home Decor,24-03-2017,CS2016-17/931,2,Rs.352.44
SLSTGNSH-03 -- Old Stone Ganesh,Home Decor,09-12-2015,CC2015-16/476,1,Rs.888.89
SAE0215-21 -- Brass Glass Big,Home Decor,09-12-2015,CC2015-16/475,2,Rs.1777.78
SLKNB-01 --    KNOBS,Home Decor,26-03-2017,CS2016-17/935,6,Rs.317.16
