,Item Code,Category,Type,Material
0, SA-K-SHLF                                             -- OPEN SHELF IN GREEN DISTRESS,Shelf,Open Shelf,Wood
1,A/R-01 -- Blue Large Mirror,Mirror,,Glass and Wood
2,A/R-02 -- Distressed Iron Mirror,Mirror,,Glass and Metal
3,A/R-03 -- Small Mirror Iron Corner,Mirror,,Glass and Metal
4,A/R-04 -- Sofa Upholstered,Sofa,Fabric ,Wood
5,A/R-06 -- Wooden Partition,Partition,,Glass and Wood
6,A/R-07 -- Wooden Red Trunk,Trunk,Pitara,Wood
7,A/R-08 -- Red Metal Bench,Chair,Bench,Metal and Wood
8,ABCHR-10 -- Mohagany Wood Chair,Chair,Sofa Chair with Fabric,Wood
9,ABTBL-01 -- Mohagany Wood Craved Console Table,Table,Console,Wood
10,AC-JD/04-17/BK-STND/01 -- Black colour wooden book stand. L16''XW13''XH10'',Shelf,Book Shelf,Wood
11,AC-JD/04-17/CON-HW/01 -- Console Table. Hardwood. L36''xW12''xH30'',Table,Console,Wood
12,AC-JD/04-17/CON-WMF/01 -- BLACK CONSOLE WITH MIRROR FRAME,Table,Console with Mirror,Glass and Wood
13,AC-JD/04-17/SFA-BLK/01 -- Sofa. Black. L48''Xw27''xH30'',Sofa,Fabric ,Wood
14,AC-JDH-04-2017-BJT-HW-6 of 6 -- Bajot. Star.,Bajot,Regular,Wood
15,ADDSHELF-01 -- Additional Shelf,Shelf,Open Shelf,Wood
16,ADKCHR-01 -- Old Rose wood Chair,Chair,Sitting Chair,Wood
17,AK-MUM-B- BENCH-5/6/01 -- Big Bench with cushion,Chair,Bench,Wood
18,AK-MUM-M - CHR-5/6/04 -- SOFA CHIR,Chair,Sofa Chair with Fabric,Wood
19,AMALT-01 -- Rose wood and mohagany wood Altar,Home Decor,Altar,Wood
20,AMALT-03 -- Old Burma teak Wood Olter,Home Decor,Altar,Wood
21,AMCBD-01 -- rose wood +mohagany wood,Cupboard,Regular,Wood
22,AMCBD-02 -- mohagany wood suraj mukhi,Cupboard,Regular,Wood
23,AMCBD-04 -- old rose wood +tiles,Cupboard,Regular,Wood
24,AMCBD-06 -- Old Burma Teak Cupboard.,Cupboard,Regular,Wood
25,AMCHR-02 -- Old rose wood + Cane Chair.,Chair,Cane Chair,Wood
26,AMSCCBD-01 -- Burma Teak Show case,Cupboard,Showcase,Glass and Wood
27,AMSCCBD-03 -- old Burma teak,Cupboard,Regular,Wood
28,AMTBL-01 -- Teapoy mohagany wood rose wood finish,Table,Bedside,Wood
29,AMTBL-03 -- Old Rose wood Tiles table,Table,Bedside,Wood
30,AQCHR-01 -- Burma teak Rocking Chair,Chair,Sofa Chair with Leather,Wood
31,BA TBL-01 -- Small Green Table,Table,Stool,Wood
32,BAPRTN-01 -- PARTICAL BORD PARTION,Partition,,Glass and Wood
33,BATBL-02 -- Nesting table,Table,Nesting,Wood
34,BBBNCH-01 -- Burma Teak 2 Seater Cushion,Chair,Sofa Chair with Fabric,Wood
35,BBBNCH-02 -- Mohgany wood Wth cane Sofa,Sofa,Cane,Wood
36,BBCHR-02 -- Reloving Burma Teak Chair,Chair,Sitting Chair,Wood
37,BBCHR-04 -- Burma Teak Half Round Chair,Chair,Sitting Chair,Wood
38,BBSFA-01 -- Burma teak Cushion 2 Seater Sofa,Sofa,Fabric ,Wood
39,BBTBL-01 -- burma teak stool,Table,Stool,Wood
40,BBTBL-02 -- rose wood + burma teak stool,Table,Stool,Wood
41,BBTBL-03 -- burma teak stool,Table,Stool,Wood
42,BBTBL-05 -- old burma teak desk,Table,Study Table,Wood
43,BBTBL-08 -- Burma Teak  Side table Long,Table,Side Table,Wood
44,BBTBL-09 -- Small Old Burma Teak Stool,Table,Stool,Wood
45,BBTBL-11 -- Burma teak Roll Top Table,Table,Roll Top Table,Wood
46,Bench -- W/C Bench,Chair,Bench,Wood
47,CH-JD-12/17-WDN - TVC -- WDN CARVING TVC,Cupboard,Cabinet,Wood
48,CH-JD-SDETBL-06/9/17 -- WHITE COLOUR SIDE BOARD,Cupboard,Cabinet,Wood
49,DWR-IW-TBL-01 -- CAST IRON MASS TABLE WITH STON TOP 5'',Cupboard,Cabinet,Metal and Wood
50,DWR-IW-TBL-03 -- cast iron bar counter with wooden top,Table,Bar Table,Wood
51,DWR-IW-TBL-04 -- cast iron dinning table with wooden top,Table,Dining Table,Metal and Wood
52,DWR-IW-TBL-06 -- cast iron 4 leg with wooden top,Table,Dining Table,Metal and Wood
53,GH 74 -- HEXIGNAL TABLE,Table,Coffee Table,Wood
54,GH-01 -- Wooden Cabinet,Cupboard,Cabinet,Wood
55,GH-04 -- Wooden Cabinet,Cupboard,Cabinet,Wood
56,GH-05 -- Wooden Cabinet,Cupboard,Cabinet,Wood
57,GH-07 -- Silver Necklace,Jewellery,Necklace,Silver
58,GH-103 -- Wooden Pigeon House,Home Decor,Cage,Wood
59,GH-16 -- Wooden Sidebord,Cupboard,Cabinet,Wood
60,GH-18  -- Wooden Side board,Cupboard,Cabinet,Wood
61,GH-21 -- wooden Sideboard,Cupboard,Cabinet,Wood
62,GH-22 -- Suraj mukhi Chester,Trunk,Chest,Wood
63,GH-31 -- Small Objects,Home Decor,Objects,Wood
64,GH-37 -- Mrabal Bowl,Home Decor,Bowl,Stone
65,GH-43 -- Wooden swing,Swing,,Wood
66,GH-49 -- Wooden Zula,Swing,,Wood
67,GH-50 -- Wooden Zula,Swing,,Wood
68,GH-53 -- Wooden Bench,Chair,Bench,Wood
69,GH-64 -- Wooden Children Table,Table,Study Table,Wood
70,GH-66 -- Wooden Bench,Chair,Bench,Wood
71,GH-68,,,
72,GH-70 -- Wooden Table,Table,Study Table,Wood
73,GH-77 -- Old wooden paath,Bajot,Chaurangi,Wood
74,GH-81 -- Bench wth 2 chair Iron set,Chair,Bench,Metal
75,GH-82 -- Iron Bench,Chair,Bench,Metal
76,GH-83 -- Iron table wth 4 Chair,Table,Garden Table,Metal
77,GH-85 -- Iron Chester,Trunk,Chest,Metal
78,GH-86 -- School Iron wth wooden bench,Table,Study Table,Metal and Wood
79,GH-90 -- Old Burma teak Bhav Nagari Jhula,Swing,,Wood
80,GH-92 -- Wooden Table,Table,Study Table,Wood
81,GH-93 -- Wooden Writting Desk,Table,Study Table,Wood
82,H2H001 -- W/C Shelf,Shelf,Open Shelf,Wood
83,H2H0116-01 -- W/c Chair,Chair,Sitting Chair,Wood
84,H2H0116-02 -- W/c Chair,Chair,Sitting Chair,Wood
85,H2H0116-04 -- W/c Chair,Chair,Sitting Chair,Wood
86,H2H0116-07 -- W/C Table,Table,Study Table,Wood
87,H2H0116-08 -- W/C Sofa Chair,Chair,Sofa Chair with Fabric,Wood
88,H2H0116-10 -- W/c Trolly Bar,Trolly,,Wood
89,H2H0116-11 -- W/C Sofa Bench,Chair,Bench,Wood
90,H2H013 --  frame Iron Mirror,Mirror,,Glass and Metal
91,H2H017 -- W/C Bar,Table,Bar Table,Wood
92,H2H018 -- W/C 4Table Wth 4 stool,Table,Dining Table,Wood
93,H2H0215-02 -- W/c Old Door Bar,Table,Bar Table,Wood
94,H2H0215-04 -- W/c Dining Table with 6 Chairs (Table with wood top),Table,Dining Table,Wood
95,H2H0215-06 -- W/c Console Table,Table,Console,Wood
96,H2H0215-09 -- W/c CD Rack Small,Shelf,Open Shelf,Wood
97,H2H0215-110 -- W/c Teak Writing Table,Table,Study Table,Wood
98,H2H0215-111 -- W/c Old Teak Table,Table,Study Table,Wood
99,H2H0215-113 -- Almirah 2 Door 3 Shelf for Rack,Cupboard,Regular,Wood
100,H2H0215-114 -- W/c 1 Door Almirah,Cupboard,Regular,Wood
101,H2H0215-116 -- W/c Console Table,Table,Console,Wood
102,H2H0215-120 -- Old Mirror,Mirror,,Glass and Wood
103,H2H0215-122 -- W/c Old Mirror,Mirror,,Glass and Wood
104,H2H0215-124 -- W/c Old Book Shelf,Shelf,Book Shelf,Wood
105,H2H0215-15 -- W/c Coffee Table,Table,Coffee Table,Wood
106,H2H0215-16 -- W/c Magazine Rack,Shelf,Open Shelf,Wood
107,H2H0215-175 -- W/C SEWING MACHINE TABLE,Table,Sewing Machine Table,Wood
108,H2H0215-18 -- W/c 3 Drawer 3 Door Side Board,Cupboard,Cabinet,Wood
109,H2H0215--20 -- W/C DINING TABLE,Table,Dining Table,Wood
110,H2H0215-20 B -- W/c Shelf,Shelf,Open Shelf,Wood
111,H2H0215-21 -- W/c Console with glass top,Table,Console,Glass and Wood
112,H2H0215-23 -- W/c Stool,Table,Stool,Wood
113,H2H0215-25 B -- W/c CD Rack Big,Shelf,Open Shelf,Wood
114,H2H0215-26 -- W/c Coffee Table with Glass Top,Table,Coffee Table,Glass and Wood
115,H2H0215-27 -- W/c Table with Stone top,Table,Dining Table,Stone and Wood
116,H2H0215-28 -- W/c Iron Wood Coffee Table,Table,Coffee Table,Metal and Wood
117,H2H0215-38 -- Brass Frame,Frame,,Metal
118,H2H0215-47 -- W/c Old Wall Dressing,Mirror,,Glass and Wood
119,H2H0215-48 -- W/c Old Mirrors,Mirror,,Glass and Wood
120,H2H0215-51 -- W/c Old mIrror,Mirror,,Glass and Wood
121,H2H0215-57 -- Iron Chair (4 Red and 4 Yellow),Chair,Sitting Chair,Metal
122,H2H0215-58 -- Round Breakfast Table Matching the Chairs,Table,Dining Table,Wood
123,H2H0215-74 -- W/c Teak Bed Side (Assorted),Table,Bedside,Wood
124,H2H0215-76 -- IRON WOOD TABLE,Table,Study Table,Metal and Wood
125,H2H0215-90 -- Jali Table,Table,Coffee Table,Glass and Wood
126,H2H0215-91 -- Day Bed (Rasala),Bed,,Wood
127,H2H0215-94 -- W/c Bed,Bed,,Wood
128,H2H0215-96 -- W/c Old 3 Drawer 2 Door Teak,Cupboard,Regular,Wood
129,H2H024 -- W/C Book shelf,Shelf,Book Shelf,Wood
130,H2H0716-02 -- W/C SIDE TABLE,Table,Side Table,Wood
131,H2H0716-100 -- W/C WRITING TABLE,Table,Study Table,Wood
132,H2H0716-101 -- CONSOLE,Table,Console,Wood
133,H2H0716-102 -- distress white cupboard,Cupboard,Regular,Wood
134,H2H0716-103 -- W/C 2 DOOR ALMIRAH,Cupboard,Regular,Wood
135,H2H0716-104 -- W/C BOX,Home Decor,Box,Wood
136,H2H0716-109 -- W/C BENCH WITH WHITE DISTRESS,Chair,Bench,Wood
137,H2H0716-111 -- W/C BENCH (GREEN DISTRESS),Chair,Bench,Wood
138,H2H0716-112 -- W/C BENCH (YELLOW DISTRESS),Chair,Bench,Wood
139,H2H0716-113 -- W/C BENCH,Chair,Bench,Wood
140,H2H0716-114 -- W/C BENCH,Chair,Bench,Wood
141,H2H0716-115 -- W/C BENCH WITH BOX,Chair,Bench,Wood
142,H2H0716-116 -- W/C 1 DOOR MIRROR,Mirror,,Glass and Wood
143,H2H0716-150 -- W/C 2 DR CONSOLE WITH STONE TOP,34X42X18,Table,Console
144,H2H0716-18 -- W/C SIDE BOARD,Cupboard,Cabinet,Wood
145,H2H0716-20 -- W/C TABLE WITH STONE TOP,Table,Dining Table,Stone and Wood
146,H2H0716-26 -- W/C MIRROR,Mirror,,Glass and Wood
147,H2H0716-27 -- W/C 4 DOOR SIDE BOARD,Cupboard,Cabinet,Wood
148,H2H0716-28 -- W/C MIRROR,Mirror,,Glass and Wood
149,H2H0716-32 -- CONSOLE WITH MIRROR,Table,Console,Glass and Wood
150,H2H0716-37 -- W/C MAGAZINE RACK,Shelf,Open Shelf,Wood
151,H2H0716-38 -- W/C MAGAZINE RACK,Shelf,Open Shelf,Wood
152,H2H0716-67 -- STOOL,Table,Stool,Wood
153,H2H0716-72 -- W/C 1 DR BED SIDE,Table,Bedside,Wood
154,H2H0716-74 -- W/C 2 DR 2 DOOR ALMIRAH,Cupboard,Regular,Wood
155,H2H0716-76 -- W/C BOX,Home Decor,Box,Wood
156,H2H0716-77 -- W/C BOX,Home Decor,Box,Wood
157,H2H0716-82 -- W/C COFFEE TABLE,Table,Coffee Table,Wood
158,H2H0716-83 -- W/C BAJOT,Bajot,Regular,Wood
159,H2H0716-84 -- W/C BAJOT,Bajot,Regular,Wood
160,H2H0716-85 -- W/C BAJOT,Bajot,Regular,Wood
161,H2H0716-97 -- W/C TABLE,Table,Study Table,Wood
162,H2H0716-98 -- W/C SHELF,Shelf,Open Shelf,Wood
163,H2H0717-01 -- W/C 2 DOOR CABINET,Cupboard,Cabinet,Wood
164,H2H0717-02 -- W/C 2 DOOR CABINET,Cupboard,Cabinet,Wood
165,H2H0717-03,, -- W/C 1 DR 2 DOOR CABINET,Cupboard
166,H2H0717-04 -- W/C 2 DOOR CABINET,Cupboard,Cabinet,Wood
167,H2H0915-02 -- W/c  Chair,Chair,Sitting Chair,Wood
168,H2H0915-04 -- I/W Coffee Table,Table,Coffee Table,Wood
169,H2H0915-06 -- W/c 1 Drawer 1 Door Almirah Old,Cupboard,Regular,Wood
170,H2H0915-07 -- W/c 2 Door Almirah,Cupboard,Regular,Wood
171,H2H0915-08 -- W/c 2 drawer 2 Door Almirah Old,Cupboard,Regular,Wood
172,H2H0915-09 -- W/c 1 Drawer 1 Door Almirah Old,Cupboard,Regular,Wood
173,H2H0915-10 -- W/c 2 Drawer Almirah,Cupboard,Regular,Wood
174,H2H0915-11 -- W/c 1 Door Almirah,Cupboard,Regular,Wood
175,H2H0915-12 -- W/c 3 Door Almirah,Cupboard,Regular,Wood
176,H2H0915-14 -- W/c 4 Drawer Chest,Trunk,Chest,Wood
177,H2H0915-15 -- W/c Almira,Cupboard,Regular,Wood
178,H2H0915-16 -- W/c Table,Table,Study Table,Wood
179,H2H0915-17 -- W/c Table,Table,Study Table,Wood
180,H2H0915-18 -- W/c Trunk,Trunk,Pitara,Wood
181,H2H0915-19 -- W/c 2 drawer 2 Door Almirah Old,Cupboard,Regular,Wood
182,H2H0915-20 -- W/c 3 Drawer 1 Door Almirah,Cupboard,Regular,Wood
183,H2H0915-21 -- W/c 4 Drawer Chest,Trunk,Chest,Wood
184,H2H0915-22 -- W/c 5 Drawer Chest,Trunk,Chest,Wood
