Item Code,Date,Quantity,Cost,Category,Type,Material,GDP,CPI
0,2017-05,1,1409.76,Home Decor,Wine Holder,Wood,37034.64,278
0,2017-08,1,1520,Home Decor,Wine Holder,Wood,38942.17,285
0,2017-06,1,1409.76,Home Decor,Wine Holder,Wood,37034.64,280
0,2017-07,1,1356,Home Decor,Wine Holder,Wood,38942.17,285
6SSS,2017-08,2,140.98,Home Decor,,Wood,38942.17,285
6SSS,2015-02,1,71,Home Decor,,Wood,30710.14,253
6SSS,2015-10,2,142,Home Decor,,Wood,32025.23,269
6SSS,2016-04,3,213,Home Decor,,Wood,33911.15,271
6SSS,2016-01,1,71,Home Decor,,Wood,33637.66,269
6SSS,2016-04,1,71.11,Home Decor,,Wood,33911.15,271
6SSS,2016-09,3,240,Home Decor,,Wood,35178.57,277
6SSS,2016-10,2,140.96,Home Decor,,Wood,35688.54,278
6SSS,2016-12,4,281.92,Home Decor,,Wood,35688.54,275
6SSS,2016-03,2,144,Home Decor,,Wood,33637.66,268
6SSS,2016-10,3,211.44,Home Decor,,Wood,35688.54,278
6SSS,2016-12,4,281.92,Home Decor,,Wood,35688.54,275
6SSS,2015-02,1,40,Home Decor,,Wood,30710.14,253
6SSS,2016-07,1,71.11,Home Decor,,Wood,35178.57,280
6SSS,2016-10,2,133.91,Home Decor,,Wood,35688.54,278
6SSS,2017-09,1,70.49,Home Decor,,Wood,38942.17,285
6SSS,2017-02,2,160,Home Decor,,Wood,36338.66,274
6SSS,2017-03,1,70.49,Home Decor,,Wood,36338.66,275
6SSS,2017-05,1,80,Home Decor,,Wood,37034.64,278
6SSS,2015-11,4,356,Home Decor,,Wood,32025.23,270
6SSS,2016-03,6,426,Home Decor,,Wood,33637.66,268
6SSS,2015-01,1,71,Home Decor,,Wood,30710.14,254
6SSS,2017-01,1,80,Home Decor,,Wood,36338.66,274
A/R-02,2011-05,2,498,Mirror,,Glass and Metal,19003.03,187
A/R-02,2011-08,1,249,Mirror,,Glass and Metal,20911.66,194
A/R-02,2011-02,1,249,Mirror,,Glass and Metal,19164.7,185
A/R-02,2011-03,1,280,Mirror,,Glass and Metal,19164.7,185
A/R-07,2010-07,1,210,Trunk,Pitara,Wood,18254.68,178
A/R-07,2010-12,1,185,Trunk,Pitara,Wood,19417.94,185
A/R-08,2011-07,8,440,Chair,Bench,Metal and Wood,20911.66,193
A/R-08,2011-07,2,110,Chair,Bench,Metal and Wood,20911.66,193
A/R-08,2011-02,4,280,Chair,Bench,Metal and Wood,19164.7,185
A/R-08,2013-02,1,66.5,Chair,Bench,Metal and Wood,24413.77,223
A/R-08,2012-04,2,124,Chair,Bench,Metal and Wood,22022.07,205
A/R-08,2011-02,6,420,Chair,Bench,Metal and Wood,19164.7,185
A/R-08,2011-03,6,330,Chair,Bench,Metal and Wood,19164.7,185
A/R-08,2011-03,1,55,Chair,Bench,Metal and Wood,19164.7,185
A/R-08,2011-03,4,224,Chair,Bench,Metal and Wood,19164.7,185
A/R-08,2011-04,2,104.5,Chair,Bench,Metal and Wood,19003.03,186
A/R-08,2011-09,3,210,Chair,Bench,Metal and Wood,20911.66,197
A/R-08,2011-10,3,210,Chair,Bench,Metal and Wood,21990.07,198
A/R-08,2012-07,3,210,Chair,Bench,Metal and Wood,23568.64,212
A/R-08,2011-05,4,220,Chair,Bench,Metal and Wood,19003.03,187
A/R-08,2012-04,3,210,Chair,Bench,Metal and Wood,22022.07,205
A/R-08,2011-09,12,840,Chair,Bench,Metal and Wood,20911.66,197
A/R-08,2011-10,2,140,Chair,Bench,Metal and Wood,21990.07,198
A/R-08,2011-03,5,275,Chair,Bench,Metal and Wood,19164.7,185
A/R-08,2011-06,2,110,Chair,Bench,Metal and Wood,19003.03,189
A/R-08,2011-01,5,275,Chair,Bench,Metal and Wood,19164.7,188
A/R-08,2011-01,7,385,Chair,Bench,Metal and Wood,19164.7,188
A/R-08,2011-01,3,165,Chair,Bench,Metal and Wood,19164.7,188
A/R-08,2011-01,6,330,Chair,Bench,Metal and Wood,19164.7,188
A/R-08,2011-01,6,330,Chair,Bench,Metal and Wood,19164.7,188
A/R-08,2011-10,5,350,Chair,Bench,Metal and Wood,21990.07,198
A/R-08,2011-06,5,350,Chair,Bench,Metal and Wood,19003.03,189
A/R-08,2011-10,3,210,Chair,Bench,Metal and Wood,21990.07,198
A/R-08,2011-01,4,220,Chair,Bench,Metal and Wood,19164.7,188
A/R-08,2011-12,1,70,Chair,Bench,Metal and Wood,21990.07,197
A/R-08,2011-01,26,1430,Chair,Bench,Metal and Wood,19164.7,188
A/R-08,2011-12,3,165,Chair,Bench,Metal and Wood,21990.07,197
A/R-08,2011-11,1,70,Chair,Bench,Metal and Wood,21990.07,199
A/R-08,2012-11,1,70,Chair,Bench,Metal and Wood,24562.2,218
A/R-08,2011-10,4,280,Chair,Bench,Metal and Wood,21990.07,198
A/R-08,2011-12,1,70,Chair,Bench,Metal and Wood,21990.07,197
A/R-08,2011-02,6,330,Chair,Bench,Metal and Wood,19164.7,185
A/R-08,2012-04,2,140,Chair,Bench,Metal and Wood,22022.07,205
A/R-08,2011-09,6,420,Chair,Bench,Metal and Wood,20911.66,197
A/R-08,2011-07,16,880,Chair,Bench,Metal and Wood,20911.66,193
A/R-08,2012-06,1,70,Chair,Bench,Metal and Wood,22022.07,208
A/R-08,2011-03,2,110,Chair,Bench,Metal and Wood,19164.7,185
A/R-23,2015-07,1,770,Home Decor,,Wood,32029.62,263
A/R-23,2015-10,1,685,Home Decor,,Wood,32025.23,269
ABBD-01,2011-05,1,58500,Bed,,Wood,19003.03,187
ABCHR-10,2011-01,1,11400,Chair,Sofa Chair with Fabric,Wood,19164.7,188
ABCHR-10,2014-12,1,7000,Chair,Sofa Chair with Fabric,Wood,28854.1,253
ABCHR-10,2010-10,1,12000,Chair,Sofa Chair with Fabric,Wood,19417.94,181
ABCHR-10,2011-01,1,9710.9,Chair,Sofa Chair with Fabric,Wood,19164.7,188
ABMR-01,2011-10,1,27000,Mirror,,Glass and Wood,21990.07,198
ABTBL-01,2016-08,1,33250,Table,Console,Wood,35178.57,278
ABTBL-01,2012-06,1,40002.9,Table,Console,Wood,22022.07,208
ABTBL-01,2011-01,1,43500,Table,Console,Wood,19164.7,188
ABTBL-02,2011-01,1,15675,Table,Coffee Table,Wood,19164.7,188
AC-JD/04-17/STL-TIL/4,2017-06,1,2114.64,Table,Stool,Wood,37034.64,280
AC-JDH-04-2017-BJT-HW-5,2017-09,1,3000,Bajot,Regular,Wood,38942.17,285
ADDSHELF-01,2013-08,1,4500,Shelf,Open Shelf,Wood,27061.45,237
ADDSHELF-01,2010-09,1,1000,Shelf,Open Shelf,Wood,18254.68,179
ADDSHELF-01,2015-01,1,500,Shelf,Open Shelf,Wood,30710.14,254
ADDSHELF-01,2016-03,1,2500,Shelf,Open Shelf,Wood,33637.66,268
ADDSHELF-01,2013-05,1,500,Shelf,Open Shelf,Wood,25118.52,228
ADDSHELF-01,2014-05,1,6000,Shelf,Open Shelf,Wood,28706.07,244
ADH-01S,2017-11,6,4800,Home Decor,,Wood,39508.25,288
ADKCHR-01,2017-07,1,11400,Chair,Sitting Chair,Wood,38942.17,285
ADKCHR-01,2017-02,1,11400,Chair,Sitting Chair,Wood,36338.66,274
ADKCHR-01,2016-07,1,7600,Chair,Sitting Chair,Wood,35178.57,280
ADL0516-14,2016-05,1,755.55,Home Decor,Lamp,Glass,33911.15,275
ADL0516-14,2016-04,4,3022.24,Home Decor,Lamp,Glass,33911.15,271
ADL0516-14,2017-10,1,800,Home Decor,Lamp,Glass,39508.25,287
ADLC,2012-01,52,9100,,,,21874.02,198
ADLM,2016-10,1,969.21,Home Decor,Lamp,Glass,35688.54,278
ADLM,2017-04,1,969.21,Home Decor,Lamp,Glass,37034.64,277
ADLMP-02,2016-12,1,1190,Home Decor,Lamp,Glass,35688.54,275
ADLMP-02,2017-03,1,920.75,Home Decor,Lamp,Glass,36338.66,275
ADLMP-02,2017-01,1,1189.49,Home Decor,Lamp,Glass,36338.66,274
ADLMP-02,2017-10,2,2700,Home Decor,Lamp,Glass,39508.25,287
ADLMP-03,2017-09,1,969.21,Home Decor,Lamp,Glass,38942.17,285
ADLMP-03,2016-03,1,2222.22,Home Decor,Lamp,Glass,33637.66,268
ADLMP-03,2016-01,1,2202.75,Home Decor,Lamp,Glass,33637.66,269
ADLMP-03,2017-05,1,2114.64,Home Decor,Lamp,Glass,37034.64,278
ADLMP-03,2017-06,1,2400,Home Decor,Lamp,Glass,37034.64,280
ADLMP-04,2016-04,1,488.89,Home Decor,,Wood,33911.15,271
ADLMP-04,2016-04,1,488.89,Home Decor,,Wood,33911.15,271
ADLMP-04,2016-06,1,488.89,Home Decor,,Wood,33911.15,277
ADLMP-04,2017-03,1,440.55,Home Decor,,Wood,36338.66,275
ADLMP-04,2016-04,1,488.89,Home Decor,,Wood,33911.15,271
ADLMP-06,2016-01,1,2311.14,Home Decor,Lamp,Glass,33637.66,269
