,Item Code,Category,Type,Material
0,IR615LG -- Garden Incence Lemon Grrass,Home Decor,,Wood
1,PSG-AK146 -- Necklace,Home Decor,,Wood
2,IRAC8001GB --  Tea light,Home Decor,,Wood
3,SLAGBT-01 -- Agarbatti,Home Decor,,Wood
5,SLLMP-10 --  Candle stand.,Home Decor,,Wood
7,SLNK-07 -- Bead Necklace,Home Decor,,Wood
9,PSG-AK156 -- Necklace,Home Decor,,Wood
11,IR101AC -- Apple cinnamon reed diffuser,Home Decor,,Wood
13,IR615CT -- Garden incense citronella,Home Decor,,Wood
14,KSPMHNG-04 -- Paper Mashe  Egg& Animal  Hanging,Home Decor,,Wood
15,SLHNDL-01 -- Brass  Handle,Home Decor,,Wood
16,SAE0215-10 -- Iron spoon/Jarya,Home Decor,,Wood
17,SAE0317-21 -- BRASS SPOON JARA,Home Decor,,Wood
18,XPCI-01 -- Mana Pot,Home Decor,,Wood
19,SAE0317-11 -- BRASS VEGITABLE CUTTER,Home Decor,,Wood
22,RMPNTNG-05 -- Painting,Home Decor,,Wood
23,ARBF-02 -- Baster art frame,Home Decor,,Wood
26,LAP0317-122 -- Wdn. Auto Painted BIG,Home Decor,,Wood
28,SAE0716-43 -- Cloth Panel,Home Decor,,Wood
29,SAE0317-15 -- BRASS POT/LAGE,Home Decor,,Wood
30,JAC1013-22 -- Cart Coffe table,Home Decor,,Wood
31,JKMCN-02 -- Old Iron painted milk can,Home Decor,,Wood
32,SLHK-12 -- Ball Hanging  Chain,Home Decor,,Wood
35,SAE0317-06 -- BRASS HANGING GLASS,Home Decor,,Wood
36,VG-01 -- Planter,Home Decor,,Wood
37,GPB-FLT -- Earring,Home Decor,,Wood
38,SLMIR-11 -- Half round Window Mrror,Home Decor,,Wood
41,FE0115-22 -- Lotus,Home Decor,,Wood
44,MIRROR,Home Decor,,Wood
45,SLDC-04 -- Small Dream Cather,Home Decor,,Wood
46,H2H0916-04 -- W/C Wooden Pannel,Home Decor,,Wood
49,LBPNL-04 -- Brass Pannnal,Home Decor,,Wood
52,SLSTGNSH-03 -- Old Stone Ganesh,Home Decor,,Wood
53,SAE0215-21 -- Brass Glass Big,Home Decor,,Wood
54,SLKNB-01 --    KNOBS,Home Decor,,Wood
56,SLPRT -- OLD PARAT,Home Decor,,Wood
57,SS-01 -- Table Runner & Mat,Home Decor,,Wood
59,SAE 1013 39 -- PAPER MACHE BOX,Home Decor,,Wood
61,PSG-GSGA-41,Home Decor,,Wood
62,SLFN-01 -- Emb. work hand fan,Home Decor,,Wood
63,IR951LA -- Fragrance Sachets Set - Lavender,Home Decor,,Wood
64,SAE0215-43 -- Mask,Home Decor,,Wood
65,LURLI-02 -- Brass Urali,Home Decor,,Wood
66,SAE0317-32 -- Old print frame,Home Decor,,Wood
67,SAE0716-83 -- Print Frame,Home Decor,,Wood
68,IR212LV -- Fragrance vapouriser- Levonder,Home Decor,,Wood
69,SLPKJ -- PICKLE JAR,Home Decor,,Wood
70,JK/HK-06 -- 4 BY 8 AND 3 BY 9 TILE HOOKS,Home Decor,,Wood
72,SLDHNDL-01 -- Brass Crystal Glass Door Handle,Home Decor,,Wood
74,LBLT010-17 -- Brass Belt,Home Decor,,Wood
76,SAE0716-39 -- Iron Coaster,Home Decor,,Wood
77,PSG-GSG-82 -- Earring,Home Decor,,Wood
78,SLHNDL-02 -- Brass Handle,Home Decor,,Wood
79,VNA-16 -- Iron candle std,Home Decor,,Wood
81,HNG-1055 -- Iron Planter,Home Decor,,Wood
82,SAE0317-31 -- WOODEN FRAME PAINTING,Home Decor,,Wood
83,IRFV0291TL -- Tea light,Home Decor,,Wood
84,KSPMBX-08 -- Paper Mashe Flat Box 5*4,Home Decor,,Wood
85,H2H0916-28 -- Marbel Bowel,Home Decor,,Wood
86,SLPDN-03 -- Old Jali Cut Brass Pandan,Home Decor,,Wood
91,SS-02 -- Godari Quilt,Home Decor,,Wood
92,6SSS -- Painted Bell& elephant Hanging,Home Decor,,Wood
93,LBHK-05 -- Brass Hook,Home Decor,,Wood
97,H2H0716-12 -- WATCH,Home Decor,,Wood
99,SK-179 -- Earring,Home Decor,,Wood
101,IR283TL -- 38mm tealight,Home Decor,,Wood
103,FE0115-17 -- Candle Std.,Home Decor,,Wood
104,FE0115-11 -- Lotus,Home Decor,,Wood
105,SLPNTNG-02 -- Painting,Home Decor,,Wood
106,SAE0317-30 -- WOODEN SMALL BLOCK,Home Decor,,Wood
108,SAE0317-12 -- BRASS CHAPATI BOX,Home Decor,,Wood
110,PSG-AK165 -- Necklace,Home Decor,,Wood
111,SAE0716-14 -- Brass Spoon,Home Decor,,Wood
112,VG-02 -- Bird Cage,Home Decor,,Wood
113,LURLI010-17 -- Brass Urali,Home Decor,,Wood
114,LDKR-02 -- Door knocker,Home Decor,,Wood
115,PSG-AK-203 -- Necklace,Home Decor,,Wood
116,PSG-AK182 -- Necklace,Home Decor,,Wood
117,HNG-1278 -- Bird cage,Home Decor,,Wood
119,H2H0916-33 -- W/C Box,Home Decor,,Wood
121,SLSBWL-01 -- Stone Bowl,Home Decor,,Wood
122,ADPPT-01 -- Tera cotta pot,Home Decor,,Wood
123,SLCK-01 -- Fibre Glass Aligater,Home Decor,,Wood
124,SLFRG-01 -- Fibre Glass Frog,Home Decor,,Wood
125,LTRL-01 -- Turtle Agarbatti std,Home Decor,,Wood
126,KSPMHNG-03 -- Paper Mashe Santa  Star MoonSet,Home Decor,,Wood
128,LBPNL-06 -- Brass Small Pannal,Home Decor,,Wood
130,SAE0716-44 -- Walking Stick,Home Decor,,Wood
131,SAE0317-37 -- WOODEN FRAME/PRINT,Home Decor,,Wood
133,MARK_01 -- Wooden Shelf,Home Decor,,Wood
136,SAE0215-16 -- Brass Baby Box,Home Decor,,Wood
138,SUD-02 -- Photo Frame,Home Decor,,Wood
139,LBLT010-14 -- Brass Belt Single,Home Decor,,Wood
140,SLLMP-13 -- Beljar etching,Home Decor,,Wood
141,KMSK-03 -- Pipe Mask Clay,Home Decor,,Wood
143,FE0115-21 -- Lotus,Home Decor,,Wood
145,AR-dk -- ceremic knobs,Home Decor,,Wood
146,H2110716-20 -- TABLE WITH MARBLE ROUND,Home Decor,,Wood
147,SL/FL/RSE WOOD -- FOLDING ROSE WOOD,Home Decor,,Wood
152,MA-04 -- Ganesh Mask,Home Decor,,Wood
154,LAL0914-13 -- Wall Mirror,Home Decor,,Wood
156,SLSTNBWL-01 -- Stone Bowl,Home Decor,,Wood
159,SLPHFR -- PHOTOFRAME,Home Decor,,Wood
160,SLKNB-02 -- Crystal Glass Knobs,Home Decor,,Wood
161,SLSCRN-01 -- Burma teak screen,Home Decor,,Wood
162,SAE0215-45 -- Temple Bell,Home Decor,,Wood
165,IR284TL -- 50 no's Reffill Pack Tealight Set,Home Decor,,Wood
167,SLHK-03 -- Round Iron  Ceramic Hook,Home Decor,,Wood
169,SAE0215-17 -- Brass Baby Box,Home Decor,,Wood
170,SLPPT-01 -- LEATHER PUPPET,Home Decor,,Wood
171,SJ0414-136 -- Silver Earring,Home Decor,,Wood
173,EIMSK-01 -- Wooden Mask,Home Decor,,Wood
175,AZ-L-HGNP-9/10-025 -- Hanging Ganpati Small,Home Decor,,Wood
177,LDTRY-01 -- Tray,Home Decor,,Wood
178,SLCK -- Old Chakli maker,Home Decor,,Wood
180,SLTILE-01 -- Ceramic Tile,Home Decor,,Wood
181,SNTY0914-04 -- Jute  Wool Cotton 2.5x7.5,Home Decor,,Wood
183,SAE1013 03 -- dumbell,Home Decor,,Wood
184,LAL0914-19 -- Hanger,Home Decor,,Wood
187,SLLTHO-06 -- Litho Picture,Home Decor,,Wood
192,SAE0716-73 -- Glass Bottle,Home Decor,,Wood
194,NAVAS-09 -- Clear Glass,Home Decor,,Wood
197,FE0115-07 -- Round Candle Std.,Home Decor,,Wood
198,CCPO003 -- GANESHA,Home Decor,,Wood
200,FLJBX1106YG -- JEWELLERY BOX GOLD,Home Decor,,Wood
202,DTDPT-01 -- Dhoop Pot,Home Decor,,Wood
205,SAE1013-31 -- Hooks,Home Decor,,Wood
206,SAE1013-32 -- Singale hook,Home Decor,,Wood
211,SAE0317-05 -- PAPERMACHE MASK,Home Decor,,Wood
213,IR951YL -- Frangrance Sachlet Ylang Ylang,Home Decor,,Wood
221,H2H4055 -- W/c Candle Stand,Home Decor,,Wood
223,RB-29 -- Key chain,Home Decor,,Wood
230,SLAGST-01 -- Agarbati,Home Decor,,Wood
240,RC1211-02 -- Iron Frog Standing T/color,Home Decor,,Wood
244,SLKCHN-02 -- Keychains,Home Decor,,Wood
254,SLMSK-01 -- African mask,Home Decor,,Wood
256,H2H0916-18 -- Iron press,Home Decor,,Wood
259,"DLMP-03 -- 9"" Beljar Handi",Home Decor,,Wood
261,SAE0215-24 -- Brass  Dal pot,Home Decor,,Wood
263,SA-AQLBSCE-02 -- Bar Show case,Home Decor,,Wood
264,H2H0916-08 -- W/C Mirror Pannel,Home Decor,,Wood
265,FLJBX0606GR -- JEWELLERY BOX GREEN / GRN BROCADE,Home Decor,,Wood
267,LBLT010-18 -- Brass 4 Belt,Home Decor,,Wood
268,AR-ER-39 -- Brass Earring,Home Decor,,Wood
269,MAE0916-09 -- Iron Std.,Home Decor,,Wood
273,SAE0716-41 -- Brass Bell,Home Decor,,Wood
275,SAE0215-09 -- Glass Butter Maker,Home Decor,,Wood
277,CHTBX-01 -- Painted Tissue Box,Home Decor,,Wood
278,SLSPN-02 -- Old Copper Spoon,Home Decor,,Wood
279,SLCOMB-01 -- Brass Comb,Home Decor,,Wood
280,SAE0716-52 -- wooden Painted Pannel,Home Decor,,Wood
283,SUD-09 -- Cut Glass Bowl,Home Decor,,Wood
284,BAMIR-01 -- Mirror Frame Painted,Home Decor,,Wood
285,GJ-14 -- Shell wth flower,Home Decor,,Wood
290,RC1012-018 -- Wooden Horse,Home Decor,,Wood
292,IR221AC -- Fragrance vapouriser,Home Decor,,Wood
294,NA-226 -- Bottle,Home Decor,,Wood
298,GH-38 -- Marbal Bowl,Home Decor,,Wood
299,STV-010PTD -- Kurata,Home Decor,,Wood
300,SAE1013-37 -- Paper Mashe Box,Home Decor,,Wood
301,LBWL010-47 -- Brass Singing Bowl Small,Home Decor,,Wood
304,SLMPNTNG-02 -- Madhubani Painting,Home Decor,,Wood
305,SLMPNTNG-10 -- Madhubani Painting,Home Decor,,Wood
306,RCC1013-03 -- IRON ANIMAL,Home Decor,,Wood
307,SAE0716-45 -- Ceramic Tiles Hook,Home Decor,,Wood
310,RMPNTNG-04 -- Laxmi/Ganesh,Home Decor,,Wood
313,SLCSTD-05 -- Wooden+ Iron Candle Std,Home Decor,,Wood
314,SAE0716-11 -- Brass Glass,Home Decor,,Wood
315,MDC-02 -- Dream catcher Beads Native,Home Decor,,Wood
317,SLDC-01 -- Dream Catcher,Home Decor,,Wood
318,SILKCOT04 -- Maheshwari Silk Cotton wth Zari,Home Decor,,Wood
319,SLCT-01 -- wooden khatia,Home Decor,,Wood
320,SLMDR 01 -- Mandir Old teak,Home Decor,,Wood
321,H2H0916-31 -- W/C 3Dr 1 Door Cabinet,Home Decor,,Wood
322,SA-AQLCBD-03 -- Old Burma Teak Art Deco  Cupbord,Home Decor,,Wood
323,SAE0716-82 -- Print Frame,Home Decor,,Wood
324,KSPMTST-03 -- Paper Mashe Turtol Set,Home Decor,,Wood
326,H2H0915-54 -- IRON PLATE STAND,Home Decor,,Wood
327,SAE0716-70 -- Iron Cow Bell,Home Decor,,Wood
330,SLCHST-16 -- Old burma teak chest,Home Decor,,Wood
332,IR951AC -- Fragrance Sachet Apple Cinomon,Home Decor,,Wood
334,SLPT-01 -- Roti Maker,Home Decor,,Wood
335,SLPF-02 -- Distress white,Home Decor,,Wood
338,STV-005 -- Kurta,Home Decor,,Wood
339,SLMSK -- African mask,Home Decor,,Wood
340,AQLMSK-01 -- Wooden Mask,Home Decor,,Wood
342,SE0912-05 -- Tribal Mana Pot Large,Home Decor,,Wood
351,LBURLI-02 -- Brass Urali,Home Decor,,Wood
352,SAE0716-71 -- W/c Block Stamp,Home Decor,,Wood
353,LBHK-07 -- Brass Hook,Home Decor,,Wood
354,SAE0716-69 -- Wc Plate,Home Decor,,Wood
359,SL-FL-BON-8 -- FLOWER BUNCH,Home Decor,,Wood
367,LURLI010-20 -- Brass Urali,Home Decor,,Wood
369,LBLT010-15 -- Brass Belt Double,Home Decor,,Wood
370,GJ-03 -- MOP Tray Large,Home Decor,,Wood
372,CHTRY-01 -- Painted Tray,Home Decor,,Wood
374,LBHK-08 -- Brass Hook,Home Decor,,Wood
377,KSPMFST-03 -- Paper Mashe Fish Set,Home Decor,,Wood
379,SLCPV -- Copper Vessel,Home Decor,,Wood
380,GJ-13 -- Candle Std.,Home Decor,,Wood
381,H2H0915-42 -- W/C MIRROR FRAME,Home Decor,,Wood
383,ADLMP0516 -15 -- Lotus hanging Candle std.,Home Decor,,Wood
387,IR191LG -- Reed Difuser Oil Lemon Grass,Home Decor,,Wood
393,HNG-1500 -- Painted Hanging,Home Decor,,Wood
395,ADLMP-04 -- Tea light Peacock Shap  Candle holder Set of 2,Home Decor,,Wood
400,SLMPNTNG-01 -- Glass Painting,Home Decor,,Wood
401,SAE0215-35 -- Mirror,Home Decor,,Wood
402,SAE0716-17 -- Brass Hook,Home Decor,,Wood
406,DBNK-01 -- Silver Necklace,Home Decor,,Wood
411,SLHK-05 -- BRASS HOOK,Home Decor,,Wood
417,LBURLI-03 -- Brass  Urali,Home Decor,,Wood
418,SAE0716-53 -- wooden Painted Pannel,Home Decor,,Wood
420,SEOLCNTR-01 -- Wooden Oil Containor,Home Decor,,Wood
423,DVTPNTNG-02 -- Tanjore Painting,Home Decor,,Wood
431,LSPN010-52 -- Brass Kapoor Arati Spoon,Home Decor,,Wood
432,JAO-06 -- Old Wooden Parat,Home Decor,,Wood
433,SLPF-06 -- Burma Teak Painted Photo Frame,Home Decor,,Wood
434,SLPF-05 -- Burma teak Photo Frame.,Home Decor,,Wood
435,MDC-03 -- Dream catcher,Home Decor,,Wood
439,SLCRW-01 -- Wooden Crow,Home Decor,,Wood
440,LBWL010-49 -- Brass Singing Bowl,Home Decor,,Wood
447,DVTPNTNG-09 -- Tanjore painting,Home Decor,,Wood
448,SLMPNTNG-11 -- Madhu Bani Painting,Home Decor,,Wood
450,SAE0716-18 -- Brass Hook,Home Decor,,Wood
454,LBSPN-06 -- Old Brass Spoon,Home Decor,,Wood
455,DTTLIGHT -- Tealights candle,Home Decor,,Wood
456,SJ0413-77 -- Budha Trq. Bust,Home Decor,,Wood
459,SAE0215-50 -- Iran Cap,Home Decor,,Wood
460,LBBX-011 -- Old Brass Box,Home Decor,,Wood
463,LSBDH-01 -- Stone Budha Head,Home Decor,,Wood
467,SLHK-06 -- Rooster Cock Hook/Tripale Animal Ceramic hooks,Home Decor,,Wood
469,DVTPNTNG-04 -- Tanjore painting,Home Decor,,Wood
478,SLCHST-05 -- Old Burma Teak Brass Fitting,Home Decor,,Wood
480,MDC-04 -- Dream Catcher,Home Decor,,Wood
482,ARPNTNG-01 -- Painting,Home Decor,,Wood
486,H2H0716-80 -- TODA,Home Decor,,Wood
490,SAE0215-31 -- Brass cup plate std.,Home Decor,,Wood
491,SAE0716-19 -- Brass Hook,Home Decor,,Wood
494,LBPLT-02 -- Brass   Plate,Home Decor,,Wood
498,SLADYA-03 -- Big Akash Diya,Home Decor,,Wood
502,SA-AQLTBL-05 -- Bed side Table,Home Decor,,Wood
504,"CH-JD/04-17/CAB-HW/02 -- Cabinet. Brass stars on top and shutters. White, L34''XW16''XH34''",Home Decor,,Wood
505,EL088 -- MAPPLE CHIP AND DIP PLATTER,Home Decor,,Wood
509,FLCO0404PG -- COASTERS PINK GOLD (SET OF 2),Home Decor,,Wood
510,EL134 -- Block printed table cover- 6 seater,Home Decor,,Wood
511,SAE0215-15 -- Brass Baby Box,Home Decor,,Wood
512,SAE0215-11 -- Iron spoon/Jarya,Home Decor,,Wood
514,RCCBWL-05 -- White Metal Glass Bowl,Home Decor,,Wood
515,SAE0716-12 -- Brass Glass,Home Decor,,Wood
516,EL093 -- Rustic Black Stone Bowl with Cane Weave,Home Decor,,Wood
517,EL094 -- Rustic Black Stone Beer Mug with Cane Weave,Home Decor,,Wood
518,SAE0317-18 -- BRASS MILK BHARANI SMALL,Home Decor,,Wood
519,LAL0914-12 -- Wall Mirror,Home Decor,,Wood
520,LAX-PNE-04-2017-CAB-TW-01 -- Teak wood cabinet_L40 W 15 h 78``,Home Decor,,Wood
526,SNTY0914-03 -- Rug3x5,Home Decor,,Wood
531,LAP0715-161 -- Cycle Iron wooden,Home Decor,,Wood
533,SAE0317-03 -- BRASS STAMP,Home Decor,,Wood
534,SMTML-03 -- truq temple Wooden Arch,Home Decor,,Wood
535,SAE0317-33 -- WOODEN FRAME/ADV.SMALL,Home Decor,,Wood
536,SNTY0914-01 -- Rug 4x6,Home Decor,,Wood
537,PDNK- VW-110,Home Decor,,Wood
538,A/R-23 -- Rose candle Holder,Home Decor,,Wood
539,FE0115-14 -- Urali,Home Decor,,Wood
543,SLLOB -- Loban,Home Decor,,Wood
544,SAE0716-50 -- Pannel Hook,Home Decor,,Wood
547,H2H0916-37 -- Console Table,Home Decor,,Wood
548,SLLTHO-01 -- Litho Picture,Home Decor,,Wood
549,SAE0317-14 -- BRASS LAGE/LOTA,Home Decor,,Wood
550,SAE0716-27 -- Brass Plate On Std.,Home Decor,,Wood
553,NAVAS-24 -- Glass Vase,Home Decor,,Wood
554,SAE0215-03 -- W/C Frame Nevi Cut,Home Decor,,Wood
555,SAE1013-16 -- Brass Spoon,Home Decor,,Wood
556,LSPN010-54 -- Brass Spoon set of 2,Home Decor,,Wood
557,RCC0515-03 -- Kerala Boat,Home Decor,,Wood
562,SAE0317-01 -- GLASS BUTTER MAKER,Home Decor,,Wood
563,LBFR-03 -- Wall art,Home Decor,,Wood
564,SAE0317-04 -- BRASS ESTRAY,Home Decor,,Wood
566,FE0115-09 -- Bird Feeder,Home Decor,,Wood
568,FE0115-13 -- Urali,Home Decor,,Wood
569,FE0115-24 -- Bird Feeder,Home Decor,,Wood
571,NA0711-131 -- Red,Home Decor,,Wood
