Item Code,Category,Type,Material,
RCC0914-10 -- Handicraft C/T Rough Strip,Home Decor,Objects,Wood,Check categorization
SLRK-01 -- Small multipurpose Shelf,Shelf,Open Shelf,Wood,
JAC0715-24 -- Birds Iron Stool,Home Decor,Stool,Metal and Wood,
SA-M-SHRK -- New Shoe Rack,Stand,Shoe Rack,Wood,
SLCHST-07 -- Old Burma teak,Trunk,Chest,Wood,
SLLDR-01 -- Wooden Lader 44*20*30,Ladder,,Wood,
SLRK-05 -- Burma Teak Multi Shelf Book Rack,Shelf,Book Shelf,Wood,
SLCHST-15 -- Old Burma teak wood chest,Trunk,Chest,Wood,
SHMALT-01 -- Old Alter,Altar,,Wood,
SLPAT-02 -- Old Burma teak Pat,Furniture,,Wood,
,,,,
SHMPT-01 -- Mohagany wood pat,Furniture,,Wood,
ANDC0102 -- East Godavari Cotton yellow purple,Home Decor,Mat,Fabric,
JAC0715-01 -- Almira Small Old Door,Cupboard,Regular,Wood,
H2H0915-30 -- W/c Oil pot,Home Decor,Utensil,Wood,Material? Wood or earthenware?
SLRK-03 --  Burma Teak Shelf,Shelf,Open Shelf,Wood,
H2H0915-47 -- W/C TRUNK,Trunk,Chest,Wood,
RAC0914-14 -- Wooden Door Frame,Frame,,Wood,
H2H0915-37 -- W/c Letter Rack,Shelf,Open Shelf,Wood,
LSFA-01 -- Burma Teak Shage Lounge,Furniture,,Wood,
JAC0715-14 -- Bajot Small,Bajot,Regular,Wood,
JAC0215-32 -- Lader chair,Ladder,,Wood,Ladder or Chair?
AMCHR-04 --  Burma Teak Wood +Cane,Chair,Cane Chair,Wood,
JAC0215-22 -- Drawer Chest 4 Drawer Iron,Trunk,Chest,Wood,
JAC0215-30 -- Book Shelf Singale,Shelf,Book Shelf,Wood,
JAC0215-05 -- Tokari Cloth different Color,Home Decor,Objects,Wood,Wood? What is the category?
PCZ-10/CBD -- wooden glass fitted Almirah,Cupboard,Regular,Glass and Wood,
JAC--06 -- Wooden Iron chest,Trunk,Chest,Metal and Wood,
JAC-09 -- Old wooden Iron fitted chest,Trunk,Chest,Metal and Wood,
