Item Code,Date,Quantity,Cost,Category,Type,Material
0,2017-05-24,1,Rs.1409.76,Home Decor,Wine Holder,Wood
0,2017-08-25,1,Rs.1520.00,Home Decor,Wine Holder,Wood
0,2017-06-25,1,Rs.1409.76,Home Decor,Wine Holder,Wood
0,2017-07-22,1,Rs.1356.00,Home Decor,Wine Holder,Wood
6SSS,2017-08-03,2,Rs.140.98,Home Decor,,Wood
6SSS,2015-02-20,1,Rs.71.00,Home Decor,,Wood
6SSS,2015-10-03,2,Rs.142.00,Home Decor,,Wood
6SSS,2016-04-20,3,Rs.213.00,Home Decor,,Wood
6SSS,2016-01-22,1,Rs.71.00,Home Decor,,Wood
6SSS,2016-04-22,1,Rs.71.11,Home Decor,,Wood
6SSS,2016-09-04,3,Rs.240.00,Home Decor,,Wood
6SSS,2016-10-12,2,Rs.140.96,Home Decor,,Wood
6SSS,2016-12-30,4,Rs.281.92,Home Decor,,Wood
6SSS,2016-03-27,2,Rs.144.00,Home Decor,,Wood
6SSS,2016-10-22,3,Rs.211.44,Home Decor,,Wood
6SSS,2016-12-23,4,Rs.281.92,Home Decor,,Wood
6SSS,2015-02-18,1,Rs.40.00,Home Decor,,Wood
6SSS,2016-07-17,1,Rs.71.11,Home Decor,,Wood
6SSS,2016-10-29,2,Rs.133.91,Home Decor,,Wood
6SSS,2017-09-05,1,Rs.70.49,Home Decor,,Wood
6SSS,2017-02-26,2,Rs.160.00,Home Decor,,Wood
6SSS,2017-03-17,1,Rs.70.49,Home Decor,,Wood
6SSS,2017-05-03,1,Rs.80.00,Home Decor,,Wood
6SSS,2015-11-20,4,Rs.356.00,Home Decor,,Wood
6SSS,2016-03-13,6,Rs.426.00,Home Decor,,Wood
6SSS,2015-01-18,1,Rs.71.00,Home Decor,,Wood
6SSS,2017-01-31,1,Rs.80.00,Home Decor,,Wood
A/R-02,2011-05-14,2,Rs.498.00,Mirror,,Glass and Metal
A/R-02,2011-08-04,1,Rs.249.00,Mirror,,Glass and Metal
A/R-02,2011-02-20,1,Rs.249.00,Mirror,,Glass and Metal
A/R-02,2011-03-07,1,Rs.280.00,Mirror,,Glass and Metal
A/R-07,2010-07-10,1,Rs.210.00,Trunk,Pitara,Wood
A/R-07,2010-12-09,1,Rs.185.00,Trunk,Pitara,Wood
A/R-08,2011-07-06,8,Rs.440.00,Chair,Bench,Metal and Wood
A/R-08,2011-07-30,2,Rs.110.00,Chair,Bench,Metal and Wood
A/R-08,2011-02-09,4,Rs.280.00,Chair,Bench,Metal and Wood
A/R-08,2013-02-15,1,Rs.66.50,Chair,Bench,Metal and Wood
A/R-08,2012-04-03,2,Rs.124.00,Chair,Bench,Metal and Wood
A/R-08,2011-02-09,6,Rs.420.00,Chair,Bench,Metal and Wood
A/R-08,2011-03-23,6,Rs.330.00,Chair,Bench,Metal and Wood
A/R-08,2011-03-13,1,Rs.55.00,Chair,Bench,Metal and Wood
A/R-08,2011-03-24,4,Rs.224.00,Chair,Bench,Metal and Wood
A/R-08,2011-04-27,2,Rs.104.50,Chair,Bench,Metal and Wood
A/R-08,2011-09-29,3,Rs.210.00,Chair,Bench,Metal and Wood
A/R-08,2011-10-15,3,Rs.210.00,Chair,Bench,Metal and Wood
A/R-08,2012-07-14,3,Rs.210.00,Chair,Bench,Metal and Wood
A/R-08,2011-05-24,4,Rs.220.00,Chair,Bench,Metal and Wood
A/R-08,2012-04-27,3,Rs.210.00,Chair,Bench,Metal and Wood
A/R-08,2011-09-22,12,Rs.840.00,Chair,Bench,Metal and Wood
A/R-08,2011-10-16,2,Rs.140.00,Chair,Bench,Metal and Wood
A/R-08,2011-03-16,5,Rs.275.00,Chair,Bench,Metal and Wood
A/R-08,2011-06-02,2,Rs.110.00,Chair,Bench,Metal and Wood
A/R-08,2011-01-29,5,Rs.275.00,Chair,Bench,Metal and Wood
A/R-08,2011-01-30,7,Rs.385.00,Chair,Bench,Metal and Wood
A/R-08,2011-01-28,3,Rs.165.00,Chair,Bench,Metal and Wood
A/R-08,2011-01-29,6,Rs.330.00,Chair,Bench,Metal and Wood
A/R-08,2011-01-28,6,Rs.330.00,Chair,Bench,Metal and Wood
A/R-08,2011-10-23,5,Rs.350.00,Chair,Bench,Metal and Wood
A/R-08,2011-06-09,5,Rs.350.00,Chair,Bench,Metal and Wood
A/R-08,2011-10-30,3,Rs.210.00,Chair,Bench,Metal and Wood
A/R-08,2011-01-27,4,Rs.220.00,Chair,Bench,Metal and Wood
A/R-08,2011-12-11,1,Rs.70.00,Chair,Bench,Metal and Wood
A/R-08,2011-01-22,26,Rs.1430.00,Chair,Bench,Metal and Wood
A/R-08,2011-12-02,3,Rs.165.00,Chair,Bench,Metal and Wood
A/R-08,2011-11-18,1,Rs.70.00,Chair,Bench,Metal and Wood
A/R-08,2012-11-15,1,Rs.70.00,Chair,Bench,Metal and Wood
A/R-08,2011-10-17,4,Rs.280.00,Chair,Bench,Metal and Wood
A/R-08,2011-12-16,1,Rs.70.00,Chair,Bench,Metal and Wood
A/R-08,2011-02-15,6,Rs.330.00,Chair,Bench,Metal and Wood
A/R-08,2012-04-11,2,Rs.140.00,Chair,Bench,Metal and Wood
A/R-08,2011-09-15,6,Rs.420.00,Chair,Bench,Metal and Wood
A/R-08,2011-07-02,16,Rs.880.00,Chair,Bench,Metal and Wood
A/R-08,2012-06-28,1,Rs.70.00,Chair,Bench,Metal and Wood
A/R-08,2011-03-24,2,Rs.110.00,Chair,Bench,Metal and Wood
A/R-23,2015-07-07,1,Rs.770.00,Home Decor,,Wood
A/R-23,2015-10-15,1,Rs.685.00,Home Decor,,Wood
ABBD-01,2011-05-07,1,Rs.58500.00,Bed,,Wood
ABCHR-10,2011-01-21,1,Rs.11400.00,Chair,Sofa Chair with Fabric,Wood
ABCHR-10,2014-12-10,1,Rs.7000.00,Chair,Sofa Chair with Fabric,Wood
ABCHR-10,2010-10-26,1,Rs.12000.00,Chair,Sofa Chair with Fabric,Wood
ABCHR-10,2011-01-16,1,Rs.9710.90,Chair,Sofa Chair with Fabric,Wood
ABMR-01,2011-10-07,1,Rs.27000.00,Mirror,,Glass and Wood
ABTBL-01,2016-08-07,1,Rs.33250.00,Table,Console,Wood
ABTBL-01,2012-06-15,1,Rs.40002.90,Table,Console,Wood
