Index,Date,Quantity,Cost,GDP,CPI
82,2016-08,1,33250.0,0.0,-1
83,2012-06,1,40002.9,1546.5699999999995,4
84,2011-01,1,43500.0,0.0,-3
85,2011-01,1,15675.0,0.0,-3
86,2017-06,1,2114.64,1907.5299999999988,5
205,2011-08,1,38000.0,0.0,3
216,2012-04,1,12600.0,0.0,1
217,2011-07,1,18050.0,0.0,1
218,2011-09,2,11400.0,1078.41,1
288,2011-01,1,3325.0,0.0,-3
289,2013-11,1,2375.0,0.0,-4
298,2014-02,1,5000.0,0.0,1
314,2013-02,1,14725.0,0.0,1
315,2013-03,1,14725.0,704.75,2
316,2011-01,1,52000.0,0.0,-3
317,2010-06,1,52000.0,2270.6900000000005,4
318,2010-09,1,20000.0,1163.2599999999984,2
319,2011-06,1,38000.0,1908.630000000001,4
327,2010-09,1,4300.0,1163.2599999999984,2
328,2011-10,1,4085.0,0.0,1
329,2010-09,1,4300.0,1163.2599999999984,2
330,2010-12,1,5600.0,-253.23999999999802,3
331,2013-07,1,4500.0,0.0,2
332,2013-12,2,12350.0,1041.2100000000028,-2
333,2010-10,1,10800.0,0.0,1
334,2013-04,1,13500.0,0.0,2
335,2012-08,1,12000.0,0.0,1
336,2010-07,1,10500.0,0.0,0
337,2012-11,2,11210.0,0.0,1
338,2010-10,2,11020.0,0.0,1
339,2012-11,1,5900.0,0.0,1
340,2012-11,1,5900.0,0.0,1
341,2017-07,2,4000.0,0.0,0
342,2017-01,1,1762.2,0.0,0
343,2010-10,1,1778.0,0.0,1
344,2011-07,1,29000.0,0.0,1
345,2011-10,1,27000.0,0.0,1
387,2011-12,1,2955.45,-116.04999999999927,1
469,2017-04,1,17195.0,0.0,1
470,2017-04,1,11115.0,0.0,1
629,2015-05,1,15120.0,0.0,3
691,2014-09,1,14256.0,-549.5400000000009,0
692,2015-01,1,19000.0,0.0,-1
697,2014-03,1,4000.0,627.0799999999981,3
698,2014-05,1,4000.0,0.0,2
703,2015-01,1,21375.0,0.0,-1
704,2011-02,1,622.0,0.0,0
705,2014-07,1,14915.0,0.0,1
706,2014-02,1,9595.0,0.0,1
713,2011-05,1,3250.0,0.0,2
718,2013-03,3,387.0,704.75,2
719,2013-01,1,129.22,0.0,2
720,2013-03,3,381.0,704.75,2
721,2013-03,1,128.44,704.75,2
722,2013-08,2,290.0,0.0,1
723,2013-02,2,258.0,0.0,1
724,2013-01,1,129.0,0.0,2
725,2013-06,3,435.0,1942.9300000000005,4
726,2013-05,2,257.78,0.0,3
727,2013-04,1,145.0,0.0,2
728,2013-03,7,903.0,704.75,2
729,2013-07,2,258.0,0.0,2
730,2013-02,1,145.0,0.0,1
738,2015-02,1,14250.0,0.0,1
739,2013-01,2,578.0,0.0,2
740,2017-10,1,7900.0,0.0,1
741,2013-01,2,650.0,0.0,2
742,2015-01,2,16910.0,0.0,-1
743,2014-12,1,9500.0,1856.0400000000006,1
744,2013-01,1,200.0,0.0,2
745,2013-01,1,267.0,0.0,2
746,2013-01,2,400.0,0.0,2
765,2012-12,1,7555.56,-148.4300000000003,2
784,2016-04,2,19200.0,0.0,4
787,2017-07,2,25600.0,0.0,0
793,2013-10,1,6460.0,0.0,2
794,2017-12,1,16800.0,0.0,-2
799,2015-12,1,49500.0,1612.430000000004,0
800,2016-04,1,19000.0,0.0,4
801,2017-07,1,25080.0,0.0,0
802,2015-10,1,19190.0,0.0,1
803,2015-10,1,8100.0,0.0,1
829,2016-03,1,78850.0,273.489999999998,3
830,2015-09,1,15120.0,-4.389999999999418,3
840,2017-08,1,17000.0,0.0,0
841,2016-07,1,18000.0,0.0,-2
842,2017-09,1,23750.0,566.0800000000017,2
851,2015-03,1,23750.0,191.34000000000012,2
869,2016-03,1,25000.0,273.489999999998,3
871,2016-03,1,20000.0,273.489999999998,3
872,2017-06,1,18097.5,1907.5299999999988,5
873,2017-09,1,14500.0,566.0800000000017,2
875,2017-09,1,11732.5,566.0800000000017,2
876,2017-08,1,8550.0,0.0,0
877,2017-08,1,8550.0,0.0,0
884,2015-02,1,5400.0,0.0,1
885,2015-05,1,5400.0,0.0,3
886,2015-10,1,6750.0,0.0,1
887,2015-03,1,4500.0,191.34000000000012,2
889,2015-08,1,15960.0,0.0,2
890,2015-07,1,15960.0,0.0,1
891,2015-05,1,15120.0,0.0,3
892,2015-10,1,13300.0,0.0,1
893,2015-12,1,13870.0,1612.430000000004,0
959,2016-12,1,7900.0,650.1200000000026,-1
960,2015-05,1,6320.7,0.0,3
963,2015-10,1,8100.0,0.0,1
996,2015-03,1,8930.0,191.34000000000012,2
998,2015-12,1,9595.0,1612.430000000004,0
999,2015-12,1,19000.0,1612.430000000004,0
1000,2017-07,1,1800.0,0.0,0
1001,2015-04,1,1600.0,0.0,2
1020,2015-03,1,18050.0,191.34000000000012,2
1022,2017-03,1,5600.0,695.9799999999959,2
1023,2015-11,1,4978.0,0.0,-1
1024,2015-02,1,5600.0,0.0,1
1025,2017-04,1,7200.0,0.0,1
1026,2017-01,1,6650.0,0.0,0
1050,2016-12,1,6412.5,650.1200000000026,-1
1073,2016-11,1,22500.0,0.0,-2
1074,2017-01,1,23750.0,0.0,0
1076,2017-05,1,26400.0,0.0,2
1091,2017-12,1,5600.0,0.0,-2
1097,2017-09,1,29000.0,566.0800000000017,2
1105,2016-09,1,5947.42,509.9700000000012,1
1147,2016-10,2,18000.0,0.0,-1
1154,2017-06,1,3500.0,1907.5299999999988,5
1155,2016-08,1,2800.04,0.0,-1
1156,2017-06,1,3083.85,1907.5299999999988,5
1157,2016-12,2,5990.0,650.1200000000026,-1
1159,2016-10,2,15800.0,0.0,-1
1163,2016-11,1,17052.5,0.0,-2
1210,2016-09,1,10925.0,509.9700000000012,1
1240,2017-06,1,3645.0,1907.5299999999988,5
1241,2015-10,1,4050.0,0.0,1
1242,2017-06,1,3645.0,1907.5299999999988,5
1243,2015-12,1,3600.0,1612.430000000004,0
1244,2015-12,1,3847.5,1612.430000000004,0
1245,2015-09,2,8356.0,-4.389999999999418,3
1246,2016-10,2,8930.0,0.0,-1
1250,2016-07,1,12350.0,0.0,-2
1254,2016-11,1,55100.0,0.0,-2
1300,2016-10,1,34200.0,0.0,-1
1301,2016-11,1,16800.0,0.0,-2
1370,2013-09,1,12350.0,-23.670000000001888,3
1372,2017-03,1,17100.0,695.9799999999959,2
1377,2016-11,1,12350.0,0.0,-2
1378,2016-05,1,17575.0,0.0,2
1380,2016-03,2,9500.0,273.489999999998,3
1381,2015-03,2,9500.0,191.34000000000012,2
1386,2015-11,1,9595.0,0.0,-1
1387,2015-12,1,9595.0,1612.430000000004,0
1411,2014-12,2,12060.0,1856.0400000000006,1
1418,2014-09,1,14600.0,-549.5400000000009,0
1419,2017-11,1,30000.0,0.0,-2
1421,2016-06,1,7505.0,1267.4199999999985,3
1422,2017-11,1,20800.0,0.0,-2
1423,2017-03,2,16150.0,695.9799999999959,2
1427,2016-07,1,12300.0,0.0,-2
1429,2017-09,1,4940.0,566.0800000000017,2
1430,2017-08,1,22000.0,0.0,0
1433,2014-10,1,23465.0,0.0,0
1435,2014-12,1,53800.0,1856.0400000000006,1
1436,2015-10,1,61750.0,0.0,1
